
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 011
--------------------------------------------
1 | Ball Receipt | 11:02 | Kobbie Mainoo | Incomplete | Right Defensive Midfield | Right Defensive Midfield | Marc Cucurella Saseta | N/A  
26 | pass | 00:13:45 | Aymeric Laporte | Pass to Nicholas Williams Arthuer | Left Center Back | Left Wing | Nicholas Williams Arthuer | successful
27 | ball receipt | 00:13:47 | Nicholas Williams Arthuer | Ball Receipt | Left Wing | Left Wing | Aymeric Laporte | successful
28 | carry | 00:13:47 | Nicholas Williams Arthuer | Carry | Left Wing | Left Wing | - | successful
29 | pass | 00:13:51 | Nicholas Williams Arthuer | Cross to Álvaro Borja Morata Martín | Left Wing | Center Forward | Álvaro Borja Morata Martín | **missed**
30 | ball receipt | 00:13:52 | Álvaro Borja Morata Martín | Ball Receipt | Center Forward | Center Forward | Nicholas Williams Arthuer | **missed**
31 | clearance | 00:13:52 | Marc Guehi | Clearance | Left Center Back | Left Center Back | Álvaro Borja Morata Martín | successful
32 | pass | 00:13:53 | Kobbie Mainoo | Pass to Phil Foden | Right Defensive Midfield | Center Attacking Midfield | Phil Foden | successful
33 | ball receipt | 00:13:54 | Phil Foden | Ball Receipt | Center Attacking Midfield | Center Attacking Midfield | Kobbie Mainoo | successful
34 | ball receipt | 00:13:55 | Jude Bellingham | Ball Receipt | Left Wing | Left Wing | Phil Foden | successful
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 014
--------------------------------------------
1 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
2 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
3 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
4 | Pass | 14:00 | Jude Bellingham | passes to Phil Foden | Left Wing | Left Wing | Phil Foden | Incomplete 
5 | Ball Receipt | 14:01 | Phil Foden | receives ball | Center Attacking Midfield | Center Attacking Midfield | Jude Bellingham | Incomplete 
6 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
7 | Dispossessed | 14:00 | Phil Foden | dispossessed | Center Attacking Midfield | Center Attacking Midfield | Rodrigo Hernández Cascante | 
8 | Duel | 14:00 | Rodrigo Hernández Cascante | tackles Phil Foden | Right Defensive Midfield | Right Defensive Midfield | Phil Foden | Lost In Play 
9 | Pass | 14:00 | Luke Shaw | passes to Jude Bellingham | Left Back | Left Back | Jude Bellingham | 
10 | Ball Receipt | 14:00 | Jude Bellingham | receives ball | Left Wing | Left Wing | Luke Shaw | 
11 | Carry | 14:00 | Jude Bellingham | carries ball | Left Wing | Left Wing | | 
12 | Pass | 14:00 | Jude Bellingham | passes to Bukayo Saka | Left Wing | Left Wing | Bukayo Saka | 
13 | Ball Receipt | 14:00 | Bukayo Saka | receives ball | Right Wing | Right Wing | Jude Bellingham | 
14 | Carry | 14:00 | Bukayo Saka | carries ball | Right Wing | Right Wing | | 
15 | Pass | 14:00 | Bukayo Saka | passes to Kyle Walker | Right Wing | Right Wing | Kyle Walker | 
16 | Ball Receipt | 14:00 | Kyle Walker | receives ball | Right Back | Right Back | Bukayo Saka | 
17 | Carry | 14:00 | Kyle Walker | carries ball | Right Back | Right Back | | 
18 | Pass | 14:00 | Kyle Walker | passes to Phil Foden | Right Back | Right Back | Phil Foden | 
19 | Ball Receipt | 14:00 | Phil Foden | receives ball | Center Attacking Midfield | Center Attacking Midfield | Kyle Walker | Incomplete 
20 | Clearance | 14:00 | Aymeric Laporte | clears ball | Left Center Back | Left Center Back | | 
21 | Block | 14:00 | Lamine Yamal Nasraoui Ebana | blocks pass | Right Wing | Right Wing | Jude Bellingham | 
22 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
23 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
24 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
25 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
26 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
27 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
28 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
29 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
30 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
31 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
32 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
33 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
34 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
35 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
36 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
37 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
38 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
39 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
40 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
41 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
42 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
43 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
44 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
45 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
46 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
47 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
48 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
49 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
50 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
51 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
52 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
53 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
54 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
55 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
56 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
57 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
58 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
59 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
60 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
61 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
62 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
63 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
64 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
65 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
66 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
67 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
68 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
69 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
70 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
71 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
72 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
73 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
74 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
75 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
76 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
77 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
78 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
79 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
80 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
81 | Pressure | 14:00 | Álvaro Borja Morja Martín | applies pressure | Center Forward | Center Forward | England | 
82 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
83 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
84 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
85 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
86 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
87 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
88 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
89 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
90 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
91 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
92 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
93 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
94 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
95 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
96 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
97 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
98 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
99 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
100 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
101 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
102 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
103 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
104 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
105 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
106 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
107 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
108 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
109 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
110 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
111 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
112 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
113 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
114 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
115 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
116 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
117 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
118 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
119 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
120 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
121 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
122 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
123 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
124 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
125 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
126 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
127 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
128 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
129 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
130 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
131 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
132 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
133 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
134 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
135 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
136 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
137 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
138 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
139 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
140 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
141 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
142 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
143 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
144 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
145 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
146 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
147 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
148 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
149 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
150 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
151 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
152 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
153 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
154 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
155 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
156 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
157 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
158 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
159 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
160 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
161 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
162 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
163 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
164 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
165 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
166 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
167 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
168 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
169 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
170 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
171 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
172 | Pressure | 14:00 | Lamine Yamal Nasraoui Ebana | applies pressure | Right Wing | Right Wing | England | 
173 | Pressure | 14:00 | Álvaro Borja Morata Martín | applies pressure | Center Forward | Center Forward | England | 
174 | Pressure | 14:00 | Rodrigo Hernández Cascante | applies pressure | Right Defensive Midfield | Right Defensive Midfield | England | 
175 | Pressure | 14:00 | Daniel Olmo Carvajal | applies pressure | Center Attacking Midfield | Center Attacking Midfield | England | 
