
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 041
--------------------------------------------
1 | carry | 41:05 | Nicholas Williams Arthuer | carries the ball | Left Wing | 49.8, 16.1 | Marc Cucurella Saseta | 
20 | Block | 42:24 | John Stones | blocks shot | Right Center Back | Right Center Back | Álvaro Borja Morata Martín | result not specified  
21 | Shot | 42:24 | Álvaro Borja Morata Martín | shoots to goal | Center Forward | Center Forward | none | **goal blocked**  
22 | Goal Keeper | 42:24 | Jordan Pickford | faces shot | Goalkeeper | Goalkeeper | none | result not specified  
23 | Clearance | 42:24 | John Stones | clears ball | Right Center Back | Right Center Back | none | result not specified  
24 | Ball Receipt | 42:08 | Robin Aime Robert Le Normand | receives ball | Right Center Back | Right Center Back | none | result not specified  
25 | Pass | 42:10 | Robin Aime Robert Le Normand | passes ball | Right Center Back | Right Center Back | Aymeric Laporte | result not specified  
26 | Pass | 42:10 | Robin Aime Robert Le Normand | passes ball | Right Center Back | Right Center Back | Aymeric Laporte | result not specified  
27 | Pass | 42:10 | Robin Aime Robert Le Normand | passes ball | Right Center Back | Right Center Back | Aymeric Laporte | result not specified  
28 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
29 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
30 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
31 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
32 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
33 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
34 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
35 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
36 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
37 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
38 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
39 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
40 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
41 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
42 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
43 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
44 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
45 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
46 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
47 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
48 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
49 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
50 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
51 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
52 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
53 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
54 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
55 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
56 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
57 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
58 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
59 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
60 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
61 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
62 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
63 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
64 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
65 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
66 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
67 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
68 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
69 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
70 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
71 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
72 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
73 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
74 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
75 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
76 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
77 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
78 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
79 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
80 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
81 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
82 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
83 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
84 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
85 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
86 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
87 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
88 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
89 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
90 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
91 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
92 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
93 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
94 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
95 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
96 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
97 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
98 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
99 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
100 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
101 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
102 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
103 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
104 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
105 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
106 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
107 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
108 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
109 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
110 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
111 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
112 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
113 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
114 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
115 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
116 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
117 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
118 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
119 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
120 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
121 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
122 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
123 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
124 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
125 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
126 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
127 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
128 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
129 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
130 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
131 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
132 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
133 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
134 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
135 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
136 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
137 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
138 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
139 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
140 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
141 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
142 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
143 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
144 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
145 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
146 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
147 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
148 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
149 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
150 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
151 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
152 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
153 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
154 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
155 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
156 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
157 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
158 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
159 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
160 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
161 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
162 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
163 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
164 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
165 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
166 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
167 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
168 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
169 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
170 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
171 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
172 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
173 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
174 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
175 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
176 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
177 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
178 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
179 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
180 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
181 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
182 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
183 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
184 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
185 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
186 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
187 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
188 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
189 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
190 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
191 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
192 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
193 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
194 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
195 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
196 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
197 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
198 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
199 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
200 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
201 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
202 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
203 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
204 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
205 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
206 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
207 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
208 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
209 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
210 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
211 | Ball Receipt | 42:10 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
