
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 02, minute: 071
--------------------------------------------
1 | ball receipt | 26:01 | Unai Simón Mendibil | received ball | Goalkeeper location | Goalkeeper | Daniel Olmo Carvajal | result not applicable  
11 | Goal Keeper | 27:09 | Unai Simón Mendibil | saves shot | Goalkeeper | Goalkeeper | none | none  
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 02, minute: 073
--------------------------------------------
1 | pass | 28:21 | Mikel Oyarzabal Ugarte | Kick Off | Center Forward | Ground Pass | Robin Aime Robert Le Normand | 
2 | ball receipt | 28:23 | Robin Aime Robert Le Normand | Ball Receipt | Right Center Back |  |  | 
3 | pass | 28:24 | Robin Aime Robert Le Normand | Pass | Right Center Back | Ground Pass | Aymeric Laporte | 
4 | ball receipt | 28:25 | Aymeric Laporte | Ball Receipt | Left Center Back |  |  | 
5 | carry | 28:25 | Aymeric Laporte | Carry | Left Center Back |  |  | 
6 | pass | 28:27 | Aymeric Laporte | Pass | Left Center Back | Ground Pass | Marc Cucurella Saseta | 
7 | ball receipt | 28:27 | Marc Cucurella Saseta | Ball Receipt | Left Back |  |  | 
8 | carry | 28:27 | Marc Cucurella Saseta | Carry | Left Back |  |  | 
9 | pass | 28:29 | Marc Cucurella Saseta | Pass | Left Back | Ground Pass | Unai Simón Mendibil | 
10 | ball receipt | 28:31 | Unai Simón Mendibil | Ball Receipt | Goalkeeper |  |  | 
11 | carry | 28:31 | Unai Simón Mendibil | Carry | Goalkeeper |  |  | 
12 | pass | 28:32 | Unai Simón Mendibil | Pass | Goalkeeper | Ground Pass | Robin Aime Robert Le Normand | 
13 | ball receipt | 28:34 | Robin Aime Robert Le Normand | Ball Receipt | Right Center Back |  |  | 
14 | carry | 28:34 | Robin Aime Robert Le Normand | Carry | Right Center Back |  |  | 
15 | pressure | 28:35 | Ollie Watkins | Pressure | Center Forward |  |  | 
16 | pass | 28:37 | Robin Aime Robert Le Normand | Pass | Right Center Back | Ground Pass | Daniel Olmo Carvajal | 
17 | ball receipt | 28:38 | Daniel Olmo Carvajal | Ball Receipt | Center Attacking Midfield |  |  | 
18 | miscontrol | 28:38 | Daniel Olmo Carvajal | Miscontrol | Center Attacking Midfield |  |  | 
19 | pressure | 28:40 | Daniel Olmo Carvajal | Pressure | Center Attacking Midfield |  |  | 
20 | ball recovery | 28:40 | Declan Rice | Ball Recovery | Left Defensive Midfield |  |  | 
21 | carry | 28:40 | Declan Rice | Carry | Left Defensive Midfield |  |  | 
22 | pass | 28:43 | Declan Rice | Pass | Left Defensive Midfield | Ground Pass | Bukayo Saka | 
23 | ball receipt | 28:44 | Bukayo Saka | Ball Receipt | Right Wing |  |  | 
24 | carry | 28:44 | Bukayo Saka | Carry | Right Wing |  |  | 
25 | pass | 28:46 | Bukayo Saka | Pass | Right Wing | Ground Pass | Declan Rice | 
26 | ball receipt | 28:47 | Declan Rice | Ball Receipt | Left Defensive Midfield |  |  | 
27 | carry | 28:47 | Declan Rice | Carry | Left Defensive Midfield |  |  | 
28 | pass | 28:48 | Declan Rice | Pass | Left Defensive Midfield | Ground Pass | Kyle Walker | 
29 | ball receipt | 28:49 | Kyle Walker | Ball Receipt | Right Back |  |  | 
30 | carry | 28:49 | Kyle Walker | Carry | Right Back |  |  | 
31 | pass | 28:51 | Kyle Walker | Pass | Right Back | Ground Pass | Jordan Pickford | 
32 | ball receipt | 28:53 | Jordan Pickford | Ball Receipt | Goalkeeper |  |  | 
33 | carry | 28:53 | Jordan Pickford | Carry | Goalkeeper |  |  | 
34 | pressure | 28:55 | Mikel Oyarzabal Ugarte | Pressure | Center Forward |  |  | 
35 | pass | 28:55 | Jordan Pickford | Pass | Goalkeeper | High Pass | Luke Shaw | 
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 02, minute: 074
--------------------------------------------
1 | ball receipt | 29:47 | Cole Palmer | received the ball | Center Attacking Midfield | Center Attacking Midfield | - | -
2 | pressure | 29:01 | Phil Foden | applied pressure | Left Wing | Left Wing | - | -
3 | pressure | 29:01 | Jude Bellingham | applied pressure | Right Defensive Midfield | Right Defensive Midfield | - | -
4 | pass | 29:02 | Martín Zubimendi Ibáñez | passed the ball | Right Defensive Midfield | Right Defensive Midfield | Lamine Yamal Nasraoui Ebana | incomplete
5 | ball receipt | 29:02 | Lamine Yamal Nasraoui Ebana | received the ball | Right Wing | Right Wing | - | incomplete
6 | block | 29:02 | Phil Foden | blocked the ball | Left Wing | Left Wing | - | -
7 | ball recovery | 29:03 | Jude Bellingham | recovered the ball | Right Defensive Midfield | Right Defensive Midfield | - | -
8 | carry | 29:03 | Jude Bellingham | carried the ball | Right Defensive Midfield | Right Defensive Midfield | - | -
9 | pass | 29:05 | Jude Bellingham | passed the ball | Right Defensive Midfield | Right Defensive Midfield | Cole Palmer | -
10 | ball receipt | 29:07 | Cole Palmer | received the ball | Center Attacking Midfield | Center Attacking Midfield | - | -
11 | carry | 29:07 | Cole Palmer | carried the ball | Center Attacking Midfield | Center Attacking Midfield | - | -
12 | pass | 29:08 | Cole Palmer | passed the ball | Center Attacking Midfield | Center Attacking Midfield | Bukayo Saka | -
13 | ball receipt | 29:09 | Bukayo Saka | received the ball | Right Wing | Right Wing | - | -
14 | carry | 29:09 | Bukayo Saka | carried the ball | Right Wing | Right Wing | - | -
15 | pressure | 29:12 | Marc Cucurella Saseta | applied pressure | Left Back | Left Back | - | -
16 | pass | 29:13 | Bukayo Saka | passed the ball | Right Wing | Right Wing | Jude Bellingham | incomplete
17 | ball receipt | 29:14 | Jude Bellingham | received the ball | Right Defensive Midfield | Right Defensive Midfield | - | incomplete
18 | clearance | 29:14 | Aymeric Laporte | cleared the ball | Left Center Back | Left Center Back | - | -
19 | pass | 29:31 | Kyle Walker | passed the ball | Right Back | Right Back | Cole Palmer | -
20 | ball receipt | 29:33 | Cole Palmer | received the ball | Center Attacking Midfield | Center Attacking Midfield | - | -
21 | carry | 29:33 | Cole Palmer | carried the ball | Center Attacking Midfield | Center Attacking Midfield | - | -
22 | pass | 29:38 | Cole Palmer | passed the ball | Center Attacking Midfield | Center Attacking Midfield | Bukayo Saka | -
23 | ball receipt | 29:39 | Bukayo Saka | received the ball | Right Wing | Right Wing | - | -
24 | carry | 29:39 | Bukayo Saka | carried the ball | Right Wing | Right Wing | - | -
25 | pass | 29:42 | Bukayo Saka | passed the ball | Right Wing | Right Wing | Kyle Walker | -
26 | ball receipt | 29:44 | Kyle Walker | received the ball | Right Back | Right Back | - | -
27 | carry | 29:44 | Kyle Walker | carried the ball | Right Back | Right Back | - | -
28 | pass | 29:44 | Kyle Walker | passed the ball | Right Back | Right Back | Bukayo Saka | -
29 | ball receipt | 29:45 | Bukayo Saka | received the ball | Right Wing | Right Wing | - | -
30 | carry | 29:45 | Bukayo Saka | carried the ball | Right Wing | Right Wing | - | -
31 | pass | 29:46 | Bukayo Saka | passed the ball | Right Wing | Right Wing | Cole Palmer | -
32 | carry | 29:47 | Cole Palmer | carried the ball | Center Attacking Midfield | Center Attacking Midfield | - | -
33 | pressure | 29:48 | Fabián Ruiz Peña | applied pressure | Left Defensive Midfield | Left Defensive Midfield | - | -
34 | dribble | 29:49 | Cole Palmer | attempted to dribble | Center Attacking Midfield | Center Attacking Midfield | - | incomplete
35 | duel | 29:49 | Fabián Ruiz Peña | tackled | Left Defensive Midfield | Left Defensive Midfield | Cole Palmer | lost out
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 02, minute: 075
--------------------------------------------
1 | pass | 30:25 | John Stones | Pass to Jordan Pickford | Right Center Back | Ground Pass | None | None  
2 | ball receipt | 30:28 | Jordan Pickford | Receives ball | Goalkeeper | None | None | None  
3 | carry | 30:28 | Jordan Pickford | Carries ball | Goalkeeper | None | None | None  
4 | pressure | 30:29 | Mikel Oyarzabal Ugarte | Applies pressure | Center Forward | None | None | None  
5 | pass | 30:30 | Jordan Pickford | Pass to Kyle Walker | Goalkeeper | High Pass | None | Out  
6 | ball receipt | 30:35 | Kyle Walker | Receives ball | Right Back | None | None | Incomplete  
7 | ball receipt | 30:24 | John Stones | Receives ball | Right Center Back | None | None | None  
8 | pass | 30:41 | Unai Simón Mendibil | Goal Kick to Aymeric Laporte | Goalkeeper | Ground Pass | None | None  
9 | ball receipt | 30:43 | Aymeric Laporte | Receives ball | Left Center Back | None | None | None  
10 | carry | 30:43 | Aymeric Laporte | Carries ball | Left Center Back | None | None | None  
11 | pass | 30:44 | Aymeric Laporte | Pass to Robin Aime Robert Le Normand | Left Center Back | Ground Pass | None | None  
12 | ball receipt | 30:46 | Robin Aime Robert Le Normand | Receives ball | Right Center Back | None | None | None  
13 | carry | 30:46 | Robin Aime Robert Le Normand | Carries ball | Right Center Back | None | None | None  
14 | pass | 30:49 | Robin Aime Robert Le Normand | Pass to Aymeric Laporte | Right Center Back | Ground Pass | None | None  
15 | ball receipt | 30:50 | Aymeric Laporte | Receives ball | Left Center Back | None | None | None  
16 | carry | 30:50 | Aymeric Laporte | Carries ball | Left Center Back | None | None | None  
17 | pass | 30:54 | Aymeric Laporte | Pass to Unai Simón Mendibil | Left Center Back | Ground Pass | None | None  
18 | ball receipt | 30:56 | Unai Simón Mendibil | Receives ball | Goalkeeper | None | None | None  
19 | carry | 30:56 | Unai Simón Mendibil | Carries ball | Goalkeeper | None | None | None  
20 | pass | 30:57 | Unai Simón Mendibil | Pass to Robin Aime Robert Le Normand | Goalkeeper | Ground Pass | None | None  
21 | ball receipt | 30:58 | Robin Aime Robert Le Normand | Receives ball | Right Center Back | None | None | None  
22 | carry | 30:58 | Robin Aime Robert Le Normand | Carries ball | Right Center Back | None | None | None  
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 02, minute: 076
--------------------------------------------
76 | pass | 31:31 | Daniel Carvajal Ramos | pass to | Right Back | Ground Pass | Daniel Olmo Carvajal | successful  
76 | pressure | 31:31 | Declan Rice | pressure on | Left Defensive Midfield | - | Daniel Olmo Carvajal | -  
76 | ball receipt | 31:32 | Daniel Olmo Carvajal | receives ball | Center Attacking Midfield | - | Daniel Carvajal Ramos | successful  
76 | carry | 31:32 | Daniel Olmo Carvajal | carries ball | Center Attacking Midfield | - | - | successful  
76 | pass | 31:34 | Daniel Olmo Carvajal | pass to | Center Attacking Midfield | Ground Pass | Martín Zubimendi Ibáñez | successful  
76 | ball receipt | 31:35 | Martín Zubimendi Ibáñez | receives ball | Right Defensive Midfield | - | Daniel Olmo Carvajal | successful  
76 | carry | 31:35 | Martín Zubimendi Ibáñez | carries ball | Right Defensive Midfield | - | - | successful  
76 | pass | 31:39 | Martín Zubimendi Ibáñez | pass to | Right Defensive Midfield | Ground Pass | Robin Aime Robert Le Normand | successful  
76 | ball receipt | 31:40 | Robin Aime Robert Le Normand | receives ball | Right Center Back | - | Martín Zubimendi Ibáñez | successful  
76 | carry | 31:40 | Robin Aime Robert Le Normand | carries ball | Right Center Back | - | - | successful  
76 | pass | 31:42 | Robin Aime Robert Le Normand | pass to | Right Center Back | Ground Pass | Lamine Yamal Nasraoui Ebana | successful  
76 | ball receipt | 31:43 | Lamine Yamal Nasraoui Ebana | receives ball | Right Wing | - | Robin Aime Robert Le Normand | successful  
76 | carry | 31:43 | Lamine Yamal Nasraoui Ebana | carries ball | Right Wing | - | - | successful  
76 | pass | 31:44 | Lamine Yamal Nasraoui Ebana | pass to | Right Wing | Ground Pass | Daniel Carvajal Ramos | successful  
76 | ball receipt | 31:45 | Daniel Carvajal Ramos | receives ball | Right Back | - | Lamine Yamal Nasraoui Ebana | successful  
76 | carry | 31:45 | Daniel Carvajal Ramos | carries ball | Right Back | - | - | successful  
76 | carry | 31:52 | Daniel Carvajal Ramos | carries ball | Right Back | - | - | successful  
76 | pressure | 31:52 | Phil Foden | pressure on | Left Wing | - | Daniel Carvajal Ramos | -  
76 | pass | 31:53 | Daniel Carvajal Ramos | pass to | Right Back | Ground Pass | Lamine Yamal Nasraoui Ebana | successful  
76 | ball receipt | 31:54 | Lamine Yamal Nasraoui Ebana | receives ball | Right Wing | - | Daniel Carvajal Ramos | successful  
76 | carry | 31:54 | Lamine Yamal Nasraoui Ebana | carries ball | Right Wing | - | - | successful  
76 | pass | 31:55 | Lamine Yamal Nasraoui Ebana | pass to | Right Wing | Ground Pass | Robin Aime Robert Le Normand | successful  
76 | ball receipt | 31:56 | Robin Aime Robert Le Normand | receives ball | Right Center Back | - | Lamine Yamal Nasraoui Ebana | successful  
76 | carry | 31:56 | Robin Aime Robert Le Normand | carries ball | Right Center Back | - | - | successful  
76 | pass | 31:57 | Robin Aime Robert Le Normand | pass to | Right Center Back | Ground Pass | Aymeric Laporte | successful  
76 | ball receipt | 31:59 | Aymeric Laporte | receives ball | Left Center Back | - | Robin Aime Robert Le Normand | successful  
76 | carry | 31:59 | Aymeric Laporte | carries ball | Left Center Back | - | - | successful  
76 | pass | 31:01 | Robin Aime Robert Le Normand | pass to | Right Center Back | Ground Pass | Unai Simón Mendibil | successful  
76 | ball receipt | 31:03 | Unai Simón Mendibil | receives ball | Goalkeeper | - | Robin Aime Robert Le Normand | successful  
76 | carry | 31:03 | Unai Simón Mendibil | carries ball | Goalkeeper | - | - | successful  
76 | pass | 31:04 | Unai Simón Mendibil | pass to | Goalkeeper | Ground Pass | Aymeric Laporte | successful  
76 | ball receipt | 31:06 | Aymeric Laporte | receives ball | Left Center Back | - | Unai Simón Mendibil | successful  
76 | carry | 31:06 | Aymeric Laporte | carries ball | Left Center Back | - | - | successful  
76 | pass | 31:07 | Aymeric Laporte | pass to | Left Center Back | Ground Pass | Robin Aime Robert Le Normand | successful  
76 | ball receipt | 31:09 | Robin Aime Robert Le Normand | receives ball | Right Center Back | - | Aymeric Laporte | successful  
76 | carry | 31:09 | Robin Aime Robert Le Normand | carries ball | Right Center Back | - | - | successful  
76 | pass | 31:13 | Robin Aime Robert Le Normand | pass to | Right Center Back | Ground Pass | Unai Simón Mendibil | successful  
76 | ball receipt | 31:15 | Unai Simón Mendibil | receives ball | Goalkeeper | - | Robin Aime Robert Le Normand | successful  
76 | carry | 31:15 | Unai Simón Mendibil | carries ball | Goalkeeper | - | - | successful  
76 | pass | 31:17 | Unai Simón Mendibil | pass to | Goalkeeper | Ground Pass | Aymeric Laporte | successful  
76 | ball receipt | 31:18 | Aymeric Laporte | receives ball | Left Center Back | - | Unai Simón Mendibil | successful  
76 | carry | 31:18 | Aymeric Laporte | carries ball | Left Center Back | - | - | successful  
76 | pass | 31:20 | Aymeric Laporte | pass to | Left Center Back | High Pass | Marc Cucurella Saseta | successful  
76 | ball receipt | 31:22 | Marc Cucurella Saseta | receives ball | Left Back | - | Aymeric Laporte | successful  
76 | pass | 31:22 | Marc Cucurella Saseta | pass to | Left Back | Low Pass | Fabián Ruiz Peña | successful  
76 | ball receipt | 31:24 | Fabián Ruiz Peña | receives ball | Left Defensive Midfield | - | Marc Cucurella Saseta | successful  
76 | carry | 31:24 | Fabián Ruiz Peña | carries ball | Left Defensive Midfield | - | - | successful  
76 | pass | 31:26 | Fabián Ruiz Peña | pass to | Left Defensive Midfield | High Pass | Lamine Yamal Nasraoui Ebana | successful  
76 | ball receipt | 31:29 | Lamine Yamal Nasraoui Ebana | receives ball | Right Wing | - | Fabián Ruiz Peña | successful  
76 | pass | 31:29 | Lamine Yamal Nasraoui Ebana | pass to | Right Wing | High Pass | Daniel Carvajal Ramos | successful  
76 | ball receipt | 31:31 | Daniel Carvajal Ramos | receives ball | Right Back | - | Lamine Yamal Nasraoui Ebana | successful  
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 02, minute: 077
--------------------------------------------
1 | pass | 32:01 | Aymeric Laporte | Pass to Marc Cucurella Saseta | Left Center Back | Ground Pass | None | None  
2 | ball receipt | 32:02 | Marc Cucurella Saseta | Receives ball | Left Back | None | Aymeric Laporte | None  
3 | carry | 32:02 | Marc Cucurella Saseta | Carries ball | Left Back | None | None | None  
4 | pressure | 32:04 | Bukayo Saka | Applies pressure | Right Wing | None | None | None  
5 | pass | 32:05 | Marc Cucurella Saseta | Pass to Martín Zubimendi Ibáñez | Left Back | Ground Pass | None | None  
6 | ball receipt | 32:06 | Martín Zubimendi Ibáñez | Receives ball | Right Defensive Midfield | None | Marc Cucurella Saseta | None  
7 | carry | 32:06 | Martín Zubimendi Ibáñez | Carries ball | Right Defensive Midfield | None | None | None  
8 | pass | 32:08 | Martín Zubimendi Ibáñez | Pass to Nicholas Williams Arthuer | Right Defensive Midfield | Ground Pass | None | None  
9 | ball receipt | 32:10 | Nicholas Williams Arthuer | Receives ball | Left Wing | None | Martín Zubimendi Ibáñez | None  
10 | carry | 32:10 | Nicholas Williams Arthuer | Carries ball | Left Wing | None | None | None  
11 | pass | 32:11 | Nicholas Williams Arthuer | Pass to Marc Cucurella Saseta | Left Wing | Ground Pass | None | None  
12 | ball receipt | 32:12 | Marc Cucurella Saseta | Receives ball | Left Back | None | Nicholas Williams Arthuer | None  
13 | carry | 32:12 | Marc Cucurella Saseta | Carries ball | Left Back | None | None | None  
14 | pass | 32:13 | Marc Cucurella Saseta | Pass to Fabián Ruiz Peña | Left Back | Ground Pass | None | None  
15 | ball receipt | 32:14 | Fabián Ruiz Peña | Receives ball | Left Defensive Midfield | None | Marc Cucurella Saseta | None  
16 | carry | 32:14 | Fabián Ruiz Peña | Carries ball | Left Defensive Midfield | None | None | None  
17 | pass | 32:15 | Fabián Ruiz Peña | Pass to Robin Aime Robert Le Normand | Left Defensive Midfield | Ground Pass | None | None  
18 | ball receipt | 32:17 | Robin Aime Robert Le Normand | Receives ball | Right Center Back | None | Fabián Ruiz Peña | None  
19 | carry | 32:17 | Robin Aime Robert Le Normand | Carries ball | Right Center Back | None | None | None  
20 | pass | 32:20 | Robin Aime Robert Le Normand | Pass to Fabián Ruiz Peña | Right Center Back | Ground Pass | None | None  
21 | ball receipt | 32:22 | Fabián Ruiz Peña | Receives ball | Left Defensive Midfield | None | Robin Aime Robert Le Normand | None  
22 | carry | 32:22 | Fabián Ruiz Peña | Carries ball | Left Defensive Midfield | None | None | None  
23 | pass | 32:23 | Fabián Ruiz Peña | Pass to Robin Aime Robert Le Normand | Left Defensive Midfield | Ground Pass | None | None  
24 | ball receipt | 32:24 | Robin Aime Robert Le Normand | Receives ball | Right Center Back | None | Fabián Ruiz Peña | None  
25 | carry | 32:24 | Robin Aime Robert Le Normand | Carries ball | Right Center Back | None | None | None  
26 | pass | 32:26 | Robin Aime Robert Le Normand | Pass to Daniel Carvajal Ramos | Right Center Back | Ground Pass | None | None  
27 | ball receipt | 32:27 | Daniel Carvajal Ramos | Receives ball | Right Back | None | Robin Aime Robert Le Normand | None  
28 | carry | 32:27 | Daniel Carvajal Ramos | Carries ball | Right Back | None | None | None  
29 | pass | 32:29 | Daniel Carvajal Ramos | Pass to Nicholas Williams Arthuer | Right Back | High Pass | None | None  
30 | ball receipt | 32:31 | Nicholas Williams Arthuer | Receives ball | Left Wing | None | Daniel Carvajal Ramos | None  
31 | carry | 32:31 | Nicholas Williams Arthuer | Carries ball | Left Wing | None | None | None  
32 | clearance | 32:31 | Kyle Walker | Clearance | Right Back | None | None | None  
33 | pass | 32:39 | Nicholas Williams Arthuer | Pass to Mikel Oyarzabal Ugarte | Left Wing | High Pass | None | None  
34 | ball receipt | 32:40 | Mikel Oyarzabal Ugarte | Receives ball | Center Forward | None | Nicholas Williams Arthuer | None  
35 | duel | 32:40 | Mikel Oyarzabal Ugarte | Aerial Lost | Center Forward | None | None | None  
36 | clearance | 32:40 | John Stones | Clearance | Right Center Back | None | None | None  
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 02, minute: 078
--------------------------------------------
1 | carry | 33:20 | Fabián Ruiz Peña | carries the ball | Left Defensive Midfield | Left Defensive Midfield | N/A | N/A  
2 | ball recovery | 33:20 | Fabián Ruiz Peña | recovers the ball | Left Defensive Midfield | Left Defensive Midfield | N/A | N/A  
3 | pass | 33:17 | Nicholas Williams Arthuer | passes the ball | Left Wing | Left Wing | N/A | N/A  
4 | pass | 33:21 | Fabián Ruiz Peña | passes the ball | Left Defensive Midfield | Left Defensive Midfield | N/A | N/A  
5 | clearance | 33:23 | Cole Palmer | clears the ball | Center Attacking Midfield | Center Attacking Midfield | N/A | N/A  
6 | pass | 33:44 | Daniel Carvajal Ramos | passes the ball | Right Back | Right Back | N/A | N/A  
7 | ball receipt | 33:46 | Fabián Ruiz Peña | receives the ball | Left Defensive Midfield | Left Defensive Midfield | N/A | N/A  
8 | carry | 33:46 | Fabián Ruiz Peña | carries the ball | Left Defensive Midfield | Left Defensive Midfield | N/A | N/A  
9 | clearance | 33:18 | Jude Bellingham | clears the ball | Right Defensive Midfield | Right Defensive Midfield | N/A | N/A  
10 | pass | 33:47 | Fabián Ruiz Peña | passes the ball | Left Defensive Midfield | Left Defensive Midfield | Robin Aime Robert Le Normand | N/A  
11 | ball receipt | 33:49 | Robin Aime Robert Le Normand | receives the ball | Right Center Back | Right Center Back | N/A | N/A  
12 | carry | 33:49 | Robin Aime Robert Le Normand | carries the ball | Right Center Back | Right Center Back | N/A | N/A  
